Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: gluc
Parent(s): gluc_026.dat gluc_024.dat gluc_022.dat gluc_020.dat
  9.292110e-01   3.152050e+00   4.067650e-02
  9.319450e-01   3.153470e+00   4.132320e-02
  9.346790e-01   3.016130e+00   4.051070e-02
  9.374130e-01   2.898300e+00   4.052410e-02
  9.401470e-01   2.820310e+00   4.050060e-02
  9.428810e-01   2.731940e+00   3.970540e-02
  9.456150e-01   2.641340e+00   3.999700e-02
  9.483490e-01   2.648980e+00   3.926930e-02
  9.510830e-01   2.506310e+00   3.914280e-02
  9.538170e-01   2.448320e+00   3.898530e-02
  9.565510e-01   2.381950e+00   3.872380e-02
  9.592850e-01   2.306350e+00   3.854450e-02
  9.620190e-01   2.285970e+00   3.791270e-02
  9.647530e-01   2.164870e+00   3.794540e-02
  9.674870e-01   2.100800e+00   3.724710e-02
  9.702210e-01   2.029000e+00   3.726020e-02
  9.729550e-01   2.001130e+00   3.737970e-02
  9.756890e-01   1.895480e+00   3.670480e-02
  9.784230e-01   1.921880e+00   3.741340e-02
  9.811570e-01   1.824580e+00   3.649650e-02
  9.838920e-01   1.752870e+00   3.676880e-02
  9.866260e-01   1.693680e+00   3.629060e-02
  9.893600e-01   1.664970e+00   3.604020e-02
  9.920940e-01   1.621000e+00   3.612860e-02
  9.948280e-01   1.540610e+00   3.535500e-02
  9.975620e-01   1.486690e+00   3.560570e-02
  1.000300e+00   1.412980e+00   3.491570e-02
  1.003030e+00   1.433120e+00   3.526790e-02
  1.005760e+00   1.377970e+00   3.503920e-02
  1.008500e+00   1.385500e+00   3.513010e-02
  1.011230e+00   1.286400e+00   3.487730e-02
  1.013970e+00   1.260590e+00   3.437110e-02
  1.016700e+00   1.176780e+00   3.452480e-02
  1.019430e+00   1.166110e+00   3.449900e-02
  1.022170e+00   1.150700e+00   3.420910e-02
  1.024900e+00   1.090890e+00   3.437230e-02
  1.027640e+00   1.076940e+00   3.360630e-02
  1.030370e+00   1.064000e+00   3.431380e-02
  1.033100e+00   9.668340e-01   3.355520e-02
  1.035840e+00   9.965070e-01   3.401070e-02
  1.038570e+00   9.393810e-01   3.400810e-02
  1.041310e+00   9.803580e-01   3.351490e-02
  1.044040e+00   9.138980e-01   3.384510e-02
  1.046770e+00   8.682620e-01   3.320180e-02
  1.049510e+00   8.751810e-01   3.334040e-02
  1.052240e+00   8.226850e-01   3.337060e-02
  1.054980e+00   8.417710e-01   3.315800e-02
  1.057710e+00   8.128460e-01   3.328940e-02
  1.060440e+00   7.769760e-01   3.267840e-02
  1.063180e+00   7.626960e-01   3.294950e-02
  1.065910e+00   7.499270e-01   3.270580e-02
  1.068650e+00   7.558540e-01   3.267100e-02
  1.071380e+00   7.338030e-01   3.304430e-02
  1.074110e+00   7.347110e-01   3.250770e-02
  1.076850e+00   7.341300e-01   3.296030e-02
  1.079580e+00   7.433480e-01   3.235970e-02
  1.082320e+00   7.053660e-01   3.254670e-02
  1.085050e+00   6.852950e-01   3.289730e-02
  1.087790e+00   6.644130e-01   3.231750e-02
  1.090520e+00   6.564800e-01   3.302050e-02
  1.093250e+00   6.793400e-01   3.205360e-02
  1.095990e+00   6.712800e-01   3.243520e-02
  1.098720e+00   6.710380e-01   3.241150e-02
  1.101460e+00   6.143880e-01   3.232390e-02
  1.104190e+00   6.028060e-01   3.249210e-02
  1.106920e+00   6.289820e-01   3.233390e-02
  1.109660e+00   6.009920e-01   3.239690e-02
  1.112390e+00   6.313260e-01   3.242410e-02
  1.115130e+00   6.348420e-01   3.203560e-02
  1.117860e+00   5.938790e-01   3.244490e-02
  1.120590e+00   6.251420e-01   3.206960e-02
  1.123330e+00   6.317740e-01   3.226870e-02
  1.126060e+00   5.972890e-01   3.250080e-02
  1.128800e+00   5.929320e-01   3.195010e-02
  1.131530e+00   5.912310e-01   3.244370e-02
