 19-May-2006       (cal_016.dat - 1.000 *Avrag04.dat) /  6.0250               
cal_016.dat   Conc = .60E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag04.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.933167E+00  0.330543E+02  0.171271E+00
  0.935452E+00  0.331034E+02  0.170654E+00
  0.937737E+00  0.331190E+02  0.170313E+00
  0.940021E+00  0.331771E+02  0.170484E+00
  0.942306E+00  0.327592E+02  0.170344E+00
  0.944590E+00  0.326593E+02  0.168791E+00
  0.946875E+00  0.324943E+02  0.170368E+00
  0.949159E+00  0.324377E+02  0.168132E+00
  0.951444E+00  0.324913E+02  0.169534E+00
  0.953728E+00  0.321446E+02  0.168385E+00
  0.956013E+00  0.320241E+02  0.166990E+00
  0.958298E+00  0.317617E+02  0.168665E+00
  0.960582E+00  0.317769E+02  0.166746E+00
  0.962867E+00  0.313102E+02  0.167588E+00
  0.965151E+00  0.311228E+02  0.166174E+00
  0.967436E+00  0.311756E+02  0.166471E+00
  0.969720E+00  0.308627E+02  0.166130E+00
  0.972005E+00  0.306305E+02  0.165154E+00
  0.974289E+00  0.310478E+02  0.166426E+00
  0.976574E+00  0.308554E+02  0.164646E+00
  0.978859E+00  0.305703E+02  0.165443E+00
  0.981143E+00  0.303326E+02  0.164946E+00
  0.983428E+00  0.301416E+02  0.163407E+00
  0.985712E+00  0.297512E+02  0.164528E+00
  0.987997E+00  0.296538E+02  0.162972E+00
  0.990281E+00  0.296280E+02  0.164193E+00
  0.992566E+00  0.293476E+02  0.162579E+00
  0.994851E+00  0.296214E+02  0.162708E+00
  0.997135E+00  0.294148E+02  0.163048E+00
  0.999420E+00  0.291386E+02  0.162049E+00
  0.100170E+01  0.291691E+02  0.162432E+00
  0.100399E+01  0.287555E+02  0.161079E+00
  0.100627E+01  0.288861E+02  0.161413E+00
  0.100856E+01  0.286382E+02  0.160870E+00
  0.101084E+01  0.283087E+02  0.160470E+00
  0.101313E+01  0.282020E+02  0.160712E+00
  0.101541E+01  0.281711E+02  0.158965E+00
  0.101770E+01  0.276589E+02  0.159973E+00
  0.101998E+01  0.279293E+02  0.159765E+00
  0.102227E+01  0.276252E+02  0.158776E+00
  0.102455E+01  0.273720E+02  0.158585E+00
  0.102683E+01  0.275213E+02  0.158138E+00
  0.102912E+01  0.271218E+02  0.158586E+00
  0.103140E+01  0.271608E+02  0.157406E+00
  0.103369E+01  0.270853E+02  0.157996E+00
  0.103597E+01  0.267783E+02  0.158048E+00
  0.103826E+01  0.263773E+02  0.156265E+00
