Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: myo
Parent(s): myo_112.dat myo_110.dat myo_108.dat myo_106.dat
  1.057710e+00   3.737830e+00   3.191520e-02
  1.060440e+00   3.715990e+00   3.153730e-02
  1.063180e+00   3.650440e+00   3.144500e-02
  1.065910e+00   3.628490e+00   3.111630e-02
  1.068650e+00   3.615830e+00   3.117410e-02
  1.071380e+00   3.648820e+00   3.142690e-02
  1.074110e+00   3.644600e+00   3.122400e-02
  1.076850e+00   3.613670e+00   3.132810e-02
  1.079580e+00   3.562830e+00   3.090820e-02
  1.082320e+00   3.548110e+00   3.082760e-02
  1.085050e+00   3.537760e+00   3.107850e-02
  1.087790e+00   3.506730e+00   3.067040e-02
  1.090520e+00   3.524310e+00   3.104720e-02
  1.093250e+00   3.422270e+00   3.034570e-02
  1.095990e+00   3.472850e+00   3.067820e-02
  1.098720e+00   3.431510e+00   3.081140e-02
  1.101460e+00   3.429870e+00   3.051100e-02
  1.104190e+00   3.403810e+00   3.040440e-02
  1.106920e+00   3.379000e+00   3.045340e-02
  1.109660e+00   3.351680e+00   3.022550e-02
  1.112390e+00   3.339730e+00   3.035630e-02
  1.115130e+00   3.313980e+00   2.982080e-02
  1.117860e+00   3.289110e+00   3.013730e-02
  1.120590e+00   3.275780e+00   2.996480e-02
  1.123330e+00   3.273160e+00   2.991890e-02
  1.126060e+00   3.235140e+00   3.009920e-02
  1.128800e+00   3.232510e+00   2.964310e-02
  1.131530e+00   3.208010e+00   2.974720e-02
  1.134260e+00   3.201170e+00   2.972730e-02
  1.137000e+00   3.135170e+00   2.928330e-02
  1.139730e+00   3.151440e+00   2.943670e-02
  1.142470e+00   3.096500e+00   2.947700e-02
  1.145200e+00   3.103740e+00   2.927120e-02
  1.147930e+00   3.094080e+00   2.932970e-02
  1.150670e+00   3.082360e+00   2.903370e-02
  1.153400e+00   3.037710e+00   2.916910e-02
  1.156140e+00   3.017630e+00   2.888130e-02
  1.158870e+00   2.971240e+00   2.890120e-02
  1.161600e+00   3.014220e+00   2.896180e-02
  1.164340e+00   3.011430e+00   2.884060e-02
  1.167070e+00   2.942090e+00   2.895930e-02
  1.169810e+00   2.904380e+00   2.854500e-02
  1.172540e+00   2.903730e+00   2.867070e-02
  1.175270e+00   2.865850e+00   2.828970e-02
  1.178010e+00   2.920060e+00   2.851280e-02
  1.180740e+00   2.886840e+00   2.867210e-02
  1.183480e+00   2.861910e+00   2.832850e-02
  1.186210e+00   2.814700e+00   2.811270e-02
  1.188940e+00   2.844320e+00   2.826560e-02
  1.191680e+00   2.768930e+00   2.808880e-02
  1.194410e+00   2.802290e+00   2.824500e-02
  1.197150e+00   2.775010e+00   2.804450e-02
  1.199880e+00   2.785900e+00   2.801530e-02
  1.202620e+00   2.741890e+00   2.790070e-02
  1.205350e+00   2.683980e+00   2.755820e-02
  1.208080e+00   2.697060e+00   2.771170e-02
  1.210820e+00   2.667900e+00   2.754660e-02
  1.213550e+00   2.724620e+00   2.798870e-02
  1.216290e+00   2.654220e+00   2.768840e-02
  1.219020e+00   2.597150e+00   2.721540e-02
  1.221750e+00   2.629600e+00   2.753270e-02
  1.224490e+00   2.620530e+00   2.725990e-02
  1.227220e+00   2.574620e+00   2.735780e-02
  1.229960e+00   2.615610e+00   2.912240e-02
  1.232690e+00   2.574200e+00   2.962100e-02
  1.238160e+00   2.547500e+00   3.014450e-02
  1.240890e+00   2.521950e+00   3.101930e-02
  1.243630e+00   2.467690e+00   3.141040e-02
  1.246360e+00   2.487070e+00   3.155330e-02
  1.249090e+00   2.470350e+00   3.169990e-02
  1.251830e+00   2.456540e+00   3.250590e-02
  1.254560e+00   2.417780e+00   3.237410e-02
  1.257300e+00   2.422670e+00   3.288670e-02
  1.260030e+00   2.485550e+00   3.391180e-02
  1.262760e+00   2.368100e+00   3.420380e-02
  1.265500e+00   2.345440e+00   3.097590e-02
  1.268230e+00   2.284670e+00   2.983720e-02
  1.270970e+00   2.355340e+00   2.958760e-02
  1.273700e+00   2.351380e+00   2.932750e-02
  1.276430e+00   2.328650e+00   2.863980e-02
  1.279170e+00   2.299230e+00   2.883210e-02
  1.281900e+00   2.257380e+00   2.834830e-02
  1.284640e+00   2.276650e+00   2.834970e-02
  1.287370e+00   2.224040e+00   2.796910e-02
  1.290100e+00   2.266800e+00   2.769810e-02
  1.292840e+00   2.187300e+00   2.708620e-02
  1.295570e+00   2.163340e+00   2.707730e-02
  1.298310e+00   2.144020e+00   2.660330e-02
  1.301040e+00   2.152490e+00   2.679250e-02
  1.303770e+00   2.122030e+00   2.618210e-02
  1.306510e+00   2.087420e+00   2.600470e-02
  1.309240e+00   2.129580e+00   2.639770e-02
  1.311980e+00   2.069550e+00   2.595960e-02
  1.314710e+00   2.135700e+00   2.607790e-02
  1.317440e+00   2.046160e+00   2.559210e-02
  1.320180e+00   2.067760e+00   2.571350e-02
  1.322910e+00   2.002140e+00   2.587570e-02
  1.325650e+00   1.998880e+00   2.533850e-02
  1.328380e+00   2.006680e+00   2.539510e-02
  1.331120e+00   1.982790e+00   2.543400e-02
  1.333850e+00   1.999560e+00   2.560360e-02
  1.336580e+00   1.968150e+00   2.559250e-02
  1.339320e+00   1.920730e+00   2.468870e-02
  1.342050e+00   1.944540e+00   2.530360e-02
  1.344790e+00   1.949640e+00   2.528480e-02
  1.347520e+00   1.922130e+00   2.524140e-02
  1.350250e+00   1.932280e+00   2.513750e-02
  1.352990e+00   1.890090e+00   2.506160e-02
  1.355720e+00   1.881690e+00   2.505360e-02
  1.358460e+00   1.893460e+00   2.507370e-02
  1.361190e+00   1.845320e+00   2.449040e-02
  1.363920e+00   1.811830e+00   2.462000e-02
  1.366660e+00   1.830470e+00   2.468750e-02
  1.369390e+00   1.799020e+00   2.465360e-02
  1.372130e+00   1.757340e+00   2.424970e-02
  1.374860e+00   1.788730e+00   2.442850e-02
  1.377590e+00   1.820380e+00   2.446540e-02
  1.380330e+00   1.748640e+00   2.440540e-02
  1.383060e+00   1.734220e+00   2.435370e-02
  1.385800e+00   1.747160e+00   2.412510e-02
  1.388530e+00   1.712730e+00   2.408530e-02
  1.391260e+00   1.694590e+00   2.412430e-02
  1.394000e+00   1.676370e+00   2.377280e-02
  1.396730e+00   1.660760e+00   2.413830e-02
  1.399470e+00   1.640050e+00   2.387950e-02
  1.402200e+00   1.668150e+00   2.393220e-02
  1.404930e+00   1.630250e+00   2.382790e-02
  1.407670e+00   1.671620e+00   2.378200e-02
