 19-May-2006       (cal_033.dat - 1.000 *Avrag08.dat) /  5.0530               
cal_033.dat   Conc = .51E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag08.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.629321E+00  0.688011E+02  0.264095E+00
  0.631606E+00  0.682129E+02  0.267090E+00
  0.633890E+00  0.683546E+02  0.265433E+00
  0.636175E+00  0.679709E+02  0.262893E+00
  0.638459E+00  0.682682E+02  0.265352E+00
  0.640744E+00  0.678154E+02  0.260172E+00
  0.643028E+00  0.670172E+02  0.263271E+00
  0.645313E+00  0.673255E+02  0.260280E+00
  0.647597E+00  0.667544E+02  0.259735E+00
  0.649882E+00  0.668472E+02  0.260041E+00
  0.652167E+00  0.667863E+02  0.257669E+00
  0.654451E+00  0.663230E+02  0.258095E+00
  0.656736E+00  0.657360E+02  0.255761E+00
  0.659020E+00  0.655490E+02  0.254913E+00
  0.661305E+00  0.649454E+02  0.256506E+00
  0.663589E+00  0.649022E+02  0.252522E+00
  0.665874E+00  0.647613E+02  0.256037E+00
  0.668159E+00  0.641795E+02  0.251371E+00
  0.670443E+00  0.638753E+02  0.252079E+00
  0.672728E+00  0.638712E+02  0.251356E+00
  0.675012E+00  0.631160E+02  0.248845E+00
  0.677297E+00  0.630544E+02  0.250362E+00
  0.679581E+00  0.636471E+02  0.247836E+00
  0.681866E+00  0.629412E+02  0.248537E+00
  0.684150E+00  0.622139E+02  0.246662E+00
  0.686435E+00  0.622575E+02  0.245602E+00
  0.688720E+00  0.623738E+02  0.247035E+00
  0.691004E+00  0.616875E+02  0.244352E+00
  0.693289E+00  0.616450E+02  0.244684E+00
  0.695573E+00  0.616216E+02  0.242470E+00
  0.697858E+00  0.614257E+02  0.243501E+00
  0.700142E+00  0.609151E+02  0.242794E+00
  0.702427E+00  0.606907E+02  0.240694E+00
  0.704711E+00  0.605343E+02  0.239298E+00
  0.706996E+00  0.604112E+02  0.239814E+00
  0.709281E+00  0.592891E+02  0.239993E+00
  0.711565E+00  0.593546E+02  0.237400E+00
  0.713850E+00  0.590295E+02  0.237054E+00
  0.716134E+00  0.592846E+02  0.236894E+00
  0.718419E+00  0.587172E+02  0.235532E+00
